,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
46,46,Sukoharjo,2014,1626.0,3004.547,18.47814883148832,,88.08566742528468
47,47,Wonogiri,2014,9985.0,14971.065,14.9935553329995,"SMPK. Selogiri, Wonogiri",90.0
48,48,Karanganyar,2014,153.0,251.195,16.41797385620915,,89.81531881866755
49,49,Sragen,2014,3181.0,5640.167,17.73079849104055,,87.92304724574738
50,50,Grobogan,2014,19804.0,45254.259,22.85106998586144,,85.05928242932997
51,51,Blora,2014,6079.0,15268.461,25.11673137029117,,81.96012151750593
52,52,Rembang,2014,5333.0,5570.438,10.44522407650478,,79.36166165836572
53,53,Pati,2014,2425.0,3057.773,12.60937319587629,"SMPK. Rendole, Pati",78.0
54,54,Kudus,2014,104.0,260.84,25.08076923076923,"SMPK. Colo, Kudus",78.0
55,55,Jepara,2014,13.0,11.547,8.882307692307693,,77.61476360788069
56,56,Demak,2014,411.0,1026.115,24.96630170316302,,76.77885209834083
57,57,Semarang,2014,145.0,197.896,13.648,"Klimatologi, Semarang",76.0
58,58,Semarang,2014,145.0,197.896,13.648,"SI Ungaran, Semarang",76.0
59,59,Temanggung,2014,1.0,2.092,20.92,,77.78985525525911
60,60,Kendal,2014,1193.0,1752.648,14.69109807208717,,80.32653842396684
61,61,Batang,2014,0.0,0.0,0.0,"Gamer, Batang",82.0
62,62,Pekalongan,2014,33.0,33.946,10.28666666666667,,81.6542438064643
63,63,Pemalang,2014,50.0,60.0,12.0,,79.94948698338095
64,64,Tegal,2014,33.0,41.44,12.55757575757576,"Meteorologi, Tegal",78.0
65,65,Brebes,2014,2029.0,2694.21,13.27851158206013,,76.7124238828523
66,66,Kota Magelang,2014,0.0,0.0,0.0,,76.16288188759178
67,67,Kota Surakarta,2014,0.0,0.0,0.0,,76.21986782715308
68,68,Kota Salatiga,2014,0.0,0.0,0.0,,76.75187551447085
69,69,Kota Semarang,2014,0.0,0.0,0.0,,77.6273987624798
70,70,Kota Pekalongan,2014,0.0,0.0,0.0,,78.71493138411451
71,71,Kota Tegal,2014,0.0,0.0,0.0,,79.8829671923097
72,72,Cilacap,2018,16559.0,30495.0,18.42,"Meteorologi, Cilacap",81.0
73,73,Banyumas,2018,2592.0,3455.0,13.33,,81.94502397192625
74,74,Purbalingga,2018,8419.0,11479.0,13.63,,82.63903468005394
75,75,Banjarnegara,2018,2266.0,2958.0,13.06,,83.01352804815463
76,76,Kebumen,2018,3479.0,6147.0,17.67,"Sempor, Kebumen",83.0
77,77,Purworejo,2018,1778.0,2191.0,12.32,,82.46308854061026
78,78,Wonosobo,2018,0.0,0.0,0.0,"Wadaslintang, Wonosobo",81.0
79,79,Magelang,2018,0.0,0.0,0.0,"SMPK. Borobudur, Magelang",79.0
80,80,Boyolali,2018,2660.0,3564.0,13.4,"SMPK Adi Sumarmo, Boyolali",79.0
81,81,Klaten,2018,3555.0,5293.0,14.89,,79.71257254212627
82,82,Sukoharjo,2018,2249.0,4208.0,18.71,,80.43761072784724
83,83,Wonogiri,2018,5453.0,8431.0,15.46,,80.94384354964458
84,84,Karanganyar,2018,839.0,1144.0,13.63,"Puslitbang FP. UNS Jumantono, Karanganyar",81.0
85,85,Sragen,2018,8423.0,11897.0,14.12,,80.47532786005917
86,86,Grobogan,2018,25154.0,41866.0,16.64,,79.64115006562344
87,87,Blora,2018,3934.0,7376.0,18.75,,78.86930834115812
88,88,Rembang,2018,1923.0,3434.0,17.86,,78.53164441112851
89,89,Pati,2018,1728.0,2241.0,12.97,"SMPK. Rondole, Pati",79.0
90,90,Kudus,2018,428.0,669.0,15.65,,80.42167851920969
91,91,Jepara,2018,773.0,1074.0,13.89,,82.04583012808206
92,92,Demak,2018,1626.0,2365.0,14.54,,82.89706667291338
93,93,Semarang,2018,908.0,1290.0,14.21,"SMPK. Balit Getas, Semarang",82.0
94,94,Semarang,2018,908.0,1290.0,14.21,"Klimatologi, Semarang",77.0
95,95,Semarang,2018,908.0,1290.0,14.21,"SI. Ungaran, Semarang",66.0
96,96,Temanggung,2018,5.0,7.0,15.53,,64.24713903294113
97,97,Kendal,2018,1466.0,2206.0,15.05,,71.46437789301956
98,98,Batang,2018,920.0,1356.0,14.74,"Gamer/Subah, Batang",82.0
99,99,Pekalongan,2018,166.0,246.0,14.86,,90.20228877364708
100,100,Pemalang,2018,5480.0,6632.0,12.1,,90.41952763372552
101,101,Tegal,2018,307.0,357.0,11.64,"Meteorologi, Tegal",77.0
102,102,Brebes,2018,1806.0,3806.0,21.07,,
103,103,Kota Magelang,2018,0.0,0.0,0.0,,
104,104,Kota Surakarta,2018,0.0,0.0,0.0,,
105,105,Kota Salatiga,2018,5.0,7.0,15.53,,
106,106,Kota Semarang,2018,0.0,0.0,0.0,,
107,107,Kota Pekalongan,2018,0.0,0.0,0.0,,
108,108,Kota Tegal,2018,0.0,0.0,0.0,,
